0x6F4D24	U+B311	# HANGUL SYLLABLE DAEB
0x6F4D25	U+B313	# HANGUL SYLLABLE DAES
0x6F4D26	U+B314	# HANGUL SYLLABLE DAESS
0x6F4D27	U+B315	# HANGUL SYLLABLE DAENG
0x6F4D28	U+B354	# HANGUL SYLLABLE DEO
0x6F4D29	U+B355	# HANGUL SYLLABLE DEOG
0x6F4D2A	U+B358	# HANGUL SYLLABLE DEON
0x6F4D2B	U+B35B	# HANGUL SYLLABLE DEOD
0x6F4D2C	U+B35C	# HANGUL SYLLABLE DEOL
0x6F4D2D	U+B35F	# HANGUL SYLLABLE DEOLB
0x6F4D2E	U+B364	# HANGUL SYLLABLE DEOM
0x6F4D2F	U+B365	# HANGUL SYLLABLE DEOB
0x6F4D30	U+B367	# HANGUL SYLLABLE DEOS
0x6F4D31	U+B368	# HANGUL SYLLABLE DEOSS
0x6F4D32	U+B369	# HANGUL SYLLABLE DEONG
0x6F4D33	U+B36A	# HANGUL SYLLABLE DEOJ
0x6F4D34	U+B36B	# HANGUL SYLLABLE DEOC
0x6F4D35	U+B36E	# HANGUL SYLLABLE DEOP
0x6F4D36	U+B370	# HANGUL SYLLABLE DE
0x6F4D37	U+B371	# HANGUL SYLLABLE DEG
0x6F4D38	U+B374	# HANGUL SYLLABLE DEN
0x6F4D39	U+B378	# HANGUL SYLLABLE DEL
0x6F4D3A	U+B380	# HANGUL SYLLABLE DEM
0x6F4D3B	U+B383	# HANGUL SYLLABLE DES
0x6F4D3C	U+B385	# HANGUL SYLLABLE DENG
0x6F4D3D	U+B38C	# HANGUL SYLLABLE DYEO
0x6F4D3E	U+B3C4	# HANGUL SYLLABLE DO
0x6F4D3F	U+B3C5	# HANGUL SYLLABLE DOG
0x6F4D40	U+B3C8	# HANGUL SYLLABLE DON
0x6F4D41	U+B3CB	# HANGUL SYLLABLE DOD
0x6F4D42	U+B3CC	# HANGUL SYLLABLE DOL
0x6F4D43	U+B3D0	# HANGUL SYLLABLE DOLS
0x6F4D44	U+B3D4	# HANGUL SYLLABLE DOM
0x6F4D45	U+B3D5	# HANGUL SYLLABLE DOB
0x6F4D46	U+B3D7	# HANGUL SYLLABLE DOS
